SA2_MAINCODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Total_NofB_1,Se_d_r_or_t_h_t_Total_NofB_2,Se_d_r_or_t_h_t_Total_NofB_3,Se_d_r_or_t_h_t_Total_NofB_4,Se_d_r_or_t_h_t_Total_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NofB_0_ib,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NofB_0_ib,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_or_m_s_b_NofB_0_ib,Fl_a_4_or_m_s_b_NofB_1,Fl_a_4_or_m_s_b_NofB_2,Fl_a_4_or_m_s_b_NofB_3,Fl_a_4_or_m_s_b_NofB_4,Fl_a_4_or_m_s_b_NofB_5,Fl_a_4_or_m_s_b_NofB_6_m,Fl_a_4_or_m_s_b_NofB_NS,Fl_a_4_or_m_s_b_Total,Fl_a_At_to_a_h_NofB_0_ib,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NofB_0_i_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NofB_0_i_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
504011047,10,35,265,3313,2470,302,61,393,6850,0,18,331,710,127,5,6,99,1292,0,3,35,84,15,3,0,25,167,0,22,362,793,143,7,6,129,1462,0,7,7,6,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,6,0,0,0,3,32,0,0,0,0,0,0,0,5,7,0,0,0,10,9,0,0,4,22,8,65,639,4120,2628,310,68,532,8370
504011048,0,3,23,538,1470,239,37,104,2414,0,0,147,210,25,3,0,41,433,0,0,25,22,3,0,0,6,59,0,0,174,233,30,3,0,48,486,0,0,7,4,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,208,778,1500,242,37,152,2927
504021049,6,20,96,350,382,74,23,96,1042,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,10,0,0,0,3,3,0,0,0,12,6,19,97,355,394,74,22,98,1062
504021050,0,17,168,899,1090,219,38,103,2534,0,0,13,11,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,3,25,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,25,183,912,1092,219,44,110,2572
504021051,0,35,164,593,867,120,29,89,1889,0,38,43,25,5,0,0,9,123,0,0,0,0,0,0,0,0,3,0,38,43,27,5,0,0,4,129,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,207,623,873,119,27,91,2019
504021052,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
504021053,7,55,322,1397,2037,345,87,235,4486,0,28,40,12,3,0,0,11,95,0,0,0,0,0,0,0,0,0,0,28,40,12,3,0,0,11,95,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,5,6,0,0,0,0,9,27,0,0,0,3,3,4,0,3,15,10,92,371,1410,2047,348,87,249,4625
504021054,3,33,249,1808,1577,275,54,249,4244,3,91,158,164,21,0,0,48,478,0,4,24,0,0,0,0,0,28,3,96,182,160,21,3,0,52,509,0,3,4,0,0,0,0,0,11,0,4,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0,0,0,24,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,3,4,146,442,1972,1596,275,54,311,4790
504031055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031056,7,26,61,1749,3282,455,65,219,5855,0,43,84,152,0,0,0,22,312,0,11,12,16,0,0,0,0,35,0,55,93,166,0,3,0,19,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,83,154,1916,3284,457,65,242,6204
504031057,4,11,81,1853,2586,282,38,334,5204,0,16,78,357,107,7,0,57,630,0,7,5,10,0,0,0,5,31,0,27,82,372,103,7,0,65,661,0,21,8,0,0,0,0,4,37,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,0,0,0,0,5,40,4,10,15,0,0,0,0,11,41,0,0,0,7,4,0,0,3,17,10,72,191,2228,2698,287,45,415,5951
504031058,0,27,76,499,815,132,28,185,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,13,23,0,0,0,3,0,0,0,0,7,0,36,76,505,820,132,28,196,1790
504031059,6,21,151,2782,6221,501,74,578,10341,0,19,387,725,257,10,0,95,1500,0,12,44,48,12,0,0,22,137,0,32,433,773,274,10,0,119,1633,0,0,7,7,3,0,0,11,25,0,3,80,0,3,0,0,19,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,92,6,6,0,0,23,135,0,0,0,0,0,0,0,0,5,0,0,0,3,6,0,0,5,9,9,55,679,3562,6510,518,79,722,12130
504031060,3,22,70,237,418,81,21,70,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,3,0,0,3,0,0,0,9,3,28,70,246,424,82,22,67,950
504031061,0,11,135,499,722,58,9,84,1511,0,3,7,45,11,0,0,6,69,0,0,0,4,3,0,0,0,4,0,3,7,48,12,0,0,6,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,9,8,0,0,0,10,61,0,0,0,3,0,0,0,0,3,11,33,150,556,735,59,9,100,1659
504031062,0,15,69,1240,1630,108,26,204,3302,0,55,66,182,10,0,0,33,353,0,0,11,50,0,0,0,11,81,0,55,85,233,10,0,3,43,430,0,0,13,24,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,0,0,0,3,38,3,17,50,9,0,0,0,10,90,0,0,0,6,3,0,0,0,7,3,96,210,1507,1650,109,27,266,3870
504031063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
504031064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031065,6,14,84,783,614,99,25,113,1738,0,12,28,122,17,0,0,22,204,0,0,0,28,7,0,0,4,32,0,12,28,150,20,0,0,26,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,46,6,3,0,0,0,42,118,0,0,0,4,3,4,0,3,14,29,70,110,935,637,104,25,185,2102
504031066,5,26,368,1141,522,71,17,202,2351,7,93,348,769,9,3,3,163,1390,0,19,147,158,30,0,0,47,399,5,111,493,924,40,3,3,206,1791,0,10,42,11,0,0,0,39,105,0,40,98,18,0,0,0,33,187,0,0,20,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,58,158,31,0,0,0,70,319,0,3,6,9,0,0,0,24,50,0,0,7,6,0,0,0,3,22,10,198,1031,2116,567,72,21,506,4523
504031067,4,11,19,719,1388,102,11,121,2375,0,0,9,4,8,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,9,4,9,0,0,8,22,0,16,25,0,0,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,4,4,27,47,727,1396,102,11,129,2448
504031068,3,21,69,732,1771,282,61,149,3085,0,0,65,111,18,3,0,22,212,0,0,5,42,4,0,0,0,53,0,0,68,155,17,3,0,22,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,4,16,3,31,137,894,1794,284,60,175,3371
504031069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505011070,3,16,64,1872,1247,127,18,189,3537,0,6,37,259,5,0,0,17,328,0,0,0,0,3,0,0,0,3,0,6,37,259,9,0,0,17,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,3,18,95,2134,1264,128,18,212,3876
505011071,5,6,32,521,3130,322,34,121,4171,0,14,36,200,21,0,0,23,295,0,0,0,14,3,3,0,3,18,0,14,40,208,20,0,0,24,313,0,16,13,32,0,0,0,3,59,0,13,47,29,0,0,0,6,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,58,62,0,0,0,12,157,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,47,129,791,3157,330,34,150,4651
505011072,6,8,82,1241,3000,486,72,137,5029,0,0,87,134,20,0,0,13,255,0,0,3,14,0,0,0,0,15,0,0,86,144,19,0,0,13,270,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,172,1391,3018,489,72,158,5317
505011073,3,15,64,1989,2158,278,34,177,4713,0,18,63,203,29,0,0,31,339,0,14,13,5,3,0,0,9,38,0,31,72,210,28,0,0,32,375,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,41,140,2195,2192,277,34,211,5096
505011074,3,12,47,1452,1604,217,28,162,3525,0,5,41,169,23,0,0,16,249,0,3,14,72,11,0,0,0,103,0,15,53,241,29,3,0,19,358,0,11,0,6,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,4,24,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,30,107,1706,1635,219,28,189,3905
505011075,0,5,49,763,1972,396,61,91,3335,0,7,28,130,12,0,0,11,185,0,0,6,110,38,5,4,8,166,0,9,32,238,49,3,4,14,357,0,0,31,22,0,0,0,4,56,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,0,0,0,4,60,0,0,0,0,0,0,0,4,8,0,0,3,3,0,0,0,3,9,0,19,112,1029,2022,402,62,120,3767
505011076,0,3,20,254,1885,315,33,59,2577,0,0,0,12,31,0,0,0,43,0,0,0,3,18,5,0,0,33,0,0,0,12,51,10,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,3,3,0,0,3,60,0,0,0,0,3,0,0,0,5,0,19,58,272,1942,330,36,62,2715
505011077,0,22,66,1101,1922,253,38,142,3545,0,44,65,123,35,4,0,17,297,3,59,78,217,108,25,14,52,550,3,103,147,337,138,27,16,74,849,0,9,12,17,8,0,0,13,58,0,30,184,50,12,0,0,25,298,0,75,184,88,3,0,0,30,376,0,0,0,0,0,0,0,0,0,0,108,377,152,16,0,0,74,730,0,0,0,7,0,0,0,4,19,0,7,6,3,0,0,0,0,23,4,243,593,1598,2082,283,54,294,5157
505011078,0,27,107,968,2473,365,48,142,4127,0,10,53,316,17,0,0,15,427,0,0,4,19,3,0,0,3,25,0,10,59,334,22,0,0,25,452,0,0,37,29,0,0,0,10,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,29,0,0,0,10,76,8,16,58,9,0,0,0,13,101,0,3,0,0,0,0,0,0,3,5,65,261,1343,2499,361,54,179,4761
505011079,3,3,49,880,2029,435,63,179,3645,0,7,59,130,15,0,0,22,235,0,0,3,22,10,0,0,9,46,0,7,67,145,28,0,0,27,283,0,16,31,0,0,0,0,11,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,0,0,0,0,11,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,24,155,1028,2056,438,64,221,3989
505011080,3,3,22,365,1622,367,72,93,2554,0,0,3,39,10,0,0,3,50,0,0,0,8,10,0,0,0,21,0,0,3,46,18,3,0,3,72,0,9,15,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,45,416,1643,368,72,102,2664
505011081,0,12,48,1306,1253,144,19,112,2893,0,3,36,166,9,0,0,15,233,0,0,0,0,0,0,0,0,0,0,3,36,166,11,0,0,15,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,15,83,1470,1264,148,19,132,3130
505011082,3,9,79,567,1631,397,59,86,2830,0,5,41,116,22,3,0,15,203,0,0,19,152,90,13,0,15,293,0,4,52,272,108,20,0,31,490,22,25,42,69,0,0,0,14,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,42,69,0,0,0,14,174,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,25,38,176,905,1748,415,56,134,3504
505011083,0,0,32,425,2082,278,31,60,2914,0,0,130,118,27,0,0,12,285,0,0,0,4,3,0,0,0,10,0,0,130,115,36,0,0,11,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,158,545,2114,283,39,73,3208
505021084,4,21,115,1941,1509,191,32,184,4002,0,99,503,1304,47,3,0,180,2142,0,15,23,98,34,0,0,28,208,0,122,532,1402,81,9,0,214,2347,0,4,5,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,8,23,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,6,9,145,652,3346,1595,199,35,406,6382
505021085,9,33,205,2657,1083,146,27,394,4545,7,225,419,1532,51,0,0,270,2502,0,5,35,106,7,0,0,20,172,7,233,452,1633,57,0,3,294,2675,0,5,53,49,0,0,0,20,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,53,51,0,0,0,20,132,0,0,0,0,0,0,0,3,3,0,0,0,13,0,0,0,4,21,19,268,709,4351,1141,146,27,711,7377
505021086,5,21,290,2524,2810,555,112,306,6619,7,104,768,1175,96,11,0,175,2338,0,21,31,110,46,5,0,15,233,7,127,798,1280,143,15,4,188,2571,4,88,166,33,0,0,0,43,330,0,12,14,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,186,36,0,0,0,41,364,0,0,0,4,3,0,0,5,10,0,0,0,3,4,0,0,5,11,13,250,1279,3845,2962,574,115,544,9575
505021087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505021088,3,29,436,1953,899,134,18,272,3746,0,120,407,1522,38,4,3,166,2263,0,30,98,614,121,4,0,90,961,0,148,506,2138,156,5,3,253,3219,0,79,143,8,0,0,0,26,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,143,8,0,0,0,26,257,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,6,11,9,256,1093,4101,1055,146,21,561,7241
505021089,3,13,140,1806,3250,525,57,208,5998,4,36,261,339,81,3,0,52,781,0,25,13,62,118,14,0,19,247,4,61,279,393,201,17,3,67,1025,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,23,20,0,0,0,0,3,53,0,0,0,0,0,0,0,0,0,4,30,21,3,0,0,0,8,61,26,38,6,3,5,0,0,19,95,0,3,3,3,4,0,0,3,9,32,142,443,2205,3461,539,65,305,7197
505021090,3,44,251,1806,374,45,10,266,2797,3,184,405,3121,66,3,3,349,4147,0,19,109,270,58,5,0,48,506,6,203,515,3392,124,9,3,404,4654,0,6,43,15,0,0,0,14,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43,15,0,0,0,14,76,0,0,0,0,0,0,0,6,6,0,0,8,21,0,0,0,7,33,11,248,814,5231,498,55,13,695,7569
505021091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505021092,0,18,270,1299,674,95,11,165,2535,0,67,934,962,24,3,3,209,2210,0,18,216,872,181,5,0,93,1387,0,86,1148,1838,207,11,3,300,3602,0,112,337,16,0,0,0,79,543,0,45,99,17,0,0,0,18,177,0,20,88,127,3,0,0,36,282,0,0,0,0,0,0,0,0,0,0,179,520,164,9,0,0,135,1007,0,0,0,0,0,0,0,4,7,0,0,8,12,0,0,0,0,23,0,285,1952,3306,887,104,19,606,7166
505021093,3,11,83,909,1815,280,34,149,3281,0,49,668,613,57,6,3,116,1515,0,6,50,107,35,3,0,20,222,0,56,718,721,88,10,3,142,1731,0,151,158,12,0,0,0,33,359,0,65,53,8,0,0,0,19,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,214,208,22,0,0,0,51,509,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,7,278,1017,1655,1904,288,33,348,5530
505021094,0,37,157,854,787,168,28,75,2103,0,19,181,180,15,0,0,34,439,0,8,90,145,29,4,3,19,299,0,24,275,327,48,9,5,57,732,0,5,18,3,0,0,0,11,40,0,3,71,13,3,0,0,8,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,85,16,8,0,0,16,143,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,0,74,527,1204,837,173,26,153,2995
505021095,0,21,182,832,343,45,20,91,1536,0,120,1251,1327,62,7,3,211,2976,0,23,122,270,106,3,0,41,572,0,146,1367,1597,170,15,7,253,3549,0,117,337,33,0,0,0,72,551,0,35,38,11,0,0,0,4,86,3,14,0,0,0,0,0,9,26,0,0,0,0,0,0,0,0,0,3,159,372,43,0,0,0,80,659,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,14,3,321,1931,2481,509,55,23,427,5756
505021096,0,4,120,1158,1641,419,66,105,3507,0,14,265,343,73,3,0,47,743,0,3,26,169,84,19,0,18,310,0,17,286,508,157,22,4,62,1052,7,39,353,36,0,0,0,32,467,0,3,68,16,0,0,0,12,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45,418,54,0,0,0,41,564,0,0,0,0,3,0,0,0,4,0,0,3,0,4,0,0,0,14,5,64,831,1719,1805,443,69,205,5147
505021097,0,19,236,1355,993,230,47,146,3026,3,88,641,896,61,9,0,129,1830,0,8,101,330,154,15,0,48,656,3,97,744,1222,211,24,0,175,2483,0,127,658,154,12,0,0,111,1055,0,60,18,0,0,0,0,20,103,0,0,56,24,0,0,0,7,86,0,0,0,0,0,0,0,0,0,0,188,728,177,12,0,0,134,1246,0,5,0,3,0,0,0,3,10,0,0,4,8,12,0,0,3,25,4,304,1715,2768,1231,250,53,459,6791
505031098,7,3,52,1299,1780,202,23,195,3565,0,87,86,168,14,5,0,40,408,0,0,0,25,3,0,0,9,35,0,86,86,196,16,5,0,46,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,94,143,1500,1802,212,28,242,4018
