SA2_MAINCODE_2016,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,Inc_1_149_CF_no_chldren,Inc_1_149_CFwith_chldren,Inc_1_149_One_PF,Inc_1_149_Oth_family,Inc_1_149_Total,Inc_150_299_CF_no_chldren,Inc_150_299_CFwith_chldren,Inc_150_299_OnePF,Inc_150_299_Oth_family,Inc_150_299_Total,Inc_300_399_CF_no_chldren,Inc_300_399_CFwith_chldren,Inc_300_399_OnePF,Inc_300_399_Oth_family,Inc_300_399_Total,Inc_400_499_CF_no_chldren,Inc_400_499_CFwith_chldren,Inc_400_499_OnePF,Inc_400_499_Oth_family,Inc_400_499_Total,Inc_500_649_CF_no_chldren,Inc_500_649_CFwith_chldren,Inc_500_649_OnePF,Inc_500_649_Oth_family,Inc_500_649_Total,Inc_650_799_CF_no_chldren,Inc_650_799_CFwith_chldren,Inc_650_799_OnePF,Inc_650_799_Oth_family,Inc_650_799_Total,Inc_800_999_CF_no_chldren,Inc_800_999_CFwith_chldren,Inc_800_999_OnePF,Inc_800_999_Oth_family,Inc_800_999_Total,Inc_1000_1249_CF_no_chldren,Inc_1000_1249_CFwith_chldren,Inc_1000_1249_OnePF,Inc_1000_1249_Oth_family,Inc_1000_1249_Total,Inc_1250_1499_CF_no_chldren,Inc_1250_1499_CFwith_chldren,Inc_1250_1499_OnePF,Inc_1250_1499_Oth_family,Inc_1250_1499_Total,Inc_1500_1749_CF_no_chldren,Inc_1500_1749_CFwith_chldren,Inc_1500_1749_OnePF,Inc_1500_1749_Oth_family,Inc_1500_1749_Total,Inc_1750_1999_CF_no_chldren,Inc_1750_1999_CFwith_chldren,Inc_1750_1999_OnePF,Inc_1750_1999_Oth_family,Inc_1750_1999_Total,Inc_2000_2499_CF_no_chldren,Inc_2000_2499_CFwith_chldren,Inc_2000_2499_OnePF,Inc_2000_2499_Oth_family,Inc_2000_2499_Total,Inc_2500_2999_CF_no_chldren,Inc_2500_2999_CFwith_chldren,Inc_2500_2999_OnePF,Inc_2500_2999_Oth_family,Inc_2500_2999_Total,Inc_3000_3499_CF_no_chldren,Inc_3000_3499_CFwith_chldren,Inc_3000_3499_OnePF,Inc_3000_3499_Oth_family,Inc_3000_3499_Total,Inc_3500_3999_CF_no_chldren,Inc_3500_3999_CFwith_chldren,Inc_3500_3999_OnePF,Inc_3500_3999_Oth_family,Inc_3500_3999_Total,Inc_4000orMore_CF_no_chldren,Inc_4000orMore_CFwith_chldren,Inc_4000orMore_OnePF,Inc_4000orMore_Oth_family,Inc_4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
501021015,7,0,8,0,14,4,0,3,3,10,4,0,13,0,18,6,3,18,0,28,33,10,26,0,67,20,8,45,0,70,125,11,44,4,190,67,26,35,0,132,71,52,41,5,167,61,63,28,3,146,48,68,16,0,128,47,67,9,0,125,104,102,18,4,226,61,67,10,3,135,36,42,0,0,77,16,29,3,0,44,40,43,0,0,83,60,126,30,0,220,15,3,4,3,21,828,703,348,31,1908
501021016,6,3,3,0,12,7,3,3,0,12,3,3,8,0,16,4,0,3,0,4,32,5,11,0,54,12,3,15,0,36,59,7,24,0,95,39,16,14,0,70,44,18,11,3,74,37,27,11,0,75,21,22,3,0,47,28,30,5,0,59,38,50,9,0,98,35,48,7,0,89,12,30,0,0,45,10,21,3,0,32,21,38,3,0,56,54,99,20,0,169,12,12,9,0,35,484,433,167,9,1089
501021251,14,0,7,0,19,0,3,3,0,9,3,0,10,0,18,0,0,18,0,25,12,8,35,0,55,11,14,44,0,67,50,12,38,0,104,37,17,47,0,104,57,44,40,0,134,56,78,32,0,167,28,81,38,0,150,33,100,23,3,158,94,236,27,3,360,75,156,7,0,236,58,115,0,0,173,26,77,3,0,114,34,123,0,0,164,64,221,32,0,319,7,3,3,0,21,659,1299,411,15,2387
501021252,7,0,0,0,11,3,0,0,0,4,5,3,0,0,5,3,0,0,0,3,12,3,7,0,19,11,0,3,0,14,32,0,8,0,45,23,4,13,0,42,39,14,5,0,57,21,15,3,0,35,16,21,3,0,45,24,25,4,0,47,30,63,3,0,93,27,67,3,0,97,18,39,0,0,53,17,31,3,0,46,18,66,0,0,88,29,94,4,0,131,10,3,0,0,15,334,442,63,4,844
501021253,14,3,8,3,23,10,0,6,0,20,10,6,8,0,21,5,4,16,0,26,46,3,19,3,74,21,0,64,0,90,184,20,57,0,267,110,35,52,0,197,134,47,74,0,257,128,63,30,4,229,63,65,36,3,173,84,70,15,0,175,170,165,34,0,370,128,133,10,3,269,95,99,3,0,200,46,68,10,0,115,125,161,8,0,296,135,149,37,0,324,28,4,8,0,45,1542,1099,496,23,3164
501021254,3,0,3,0,7,0,0,3,0,10,3,0,17,0,24,0,0,20,0,23,33,8,38,0,80,16,5,42,0,63,77,18,57,0,153,54,31,33,8,120,28,53,36,0,122,44,38,23,3,115,32,41,14,0,88,34,35,6,0,79,40,59,9,3,108,28,36,3,0,74,13,22,0,0,32,7,9,0,0,16,5,14,0,0,26,47,74,36,3,160,9,4,3,3,21,491,449,355,20,1316
501031017,18,0,4,0,21,10,3,0,0,13,19,0,12,0,22,6,6,16,0,22,53,13,17,0,83,37,9,19,0,65,162,20,23,0,203,75,14,22,0,116,102,52,16,4,171,87,45,7,3,142,51,42,10,0,98,35,45,3,0,86,86,74,13,0,169,56,72,3,0,128,30,39,0,0,63,16,17,0,0,28,26,34,0,0,62,81,107,19,0,212,12,10,3,0,25,950,591,185,12,1732
501031018,8,0,0,0,15,8,0,3,0,13,4,0,3,0,13,8,0,13,0,16,35,9,16,0,57,19,7,15,0,46,116,21,32,3,172,69,22,18,3,113,75,47,17,0,138,77,32,4,3,122,39,45,8,0,94,42,49,0,0,90,73,73,4,0,148,46,47,3,0,96,29,36,0,0,62,20,24,0,0,50,29,47,0,0,83,86,118,12,0,216,13,5,5,0,25,813,579,166,13,1576
501031019,6,0,7,0,12,3,3,0,0,8,3,0,8,0,11,5,0,19,0,22,27,5,21,3,57,12,11,28,0,59,85,16,26,0,130,62,27,27,0,122,48,48,22,4,119,67,48,12,6,130,44,56,3,0,103,47,44,14,0,99,77,78,11,3,168,33,69,3,0,104,14,31,3,0,45,18,22,3,0,37,13,20,0,0,39,51,89,27,3,161,12,7,8,0,23,635,560,241,24,1455
501031020,13,0,5,0,21,6,0,0,0,8,4,0,10,0,12,6,0,10,0,19,51,7,13,0,71,22,5,17,0,49,119,16,18,0,149,45,29,10,0,89,85,27,11,3,120,68,36,11,3,121,34,34,3,0,69,51,34,4,0,88,66,58,4,3,128,35,33,3,0,71,18,15,0,0,39,11,15,0,0,27,17,24,3,0,44,78,78,11,3,176,13,9,3,0,21,745,432,145,11,1341
502011021,14,3,11,0,26,11,0,0,0,19,13,0,4,0,15,9,0,15,0,20,40,5,15,0,61,34,0,39,0,72,186,6,33,0,229,76,26,17,3,121,105,33,37,0,173,68,46,15,0,125,40,48,14,3,104,41,49,9,0,104,68,127,16,0,211,59,100,0,0,161,41,61,3,0,102,19,44,4,0,69,43,77,3,0,130,74,162,32,0,266,19,5,0,0,29,959,796,274,18,2048
502011022,22,0,9,0,32,11,0,3,0,14,17,0,9,0,36,9,8,20,0,30,72,10,27,3,113,29,7,50,6,90,192,14,39,4,249,109,27,32,4,170,134,37,39,0,207,108,46,20,0,175,53,45,23,3,118,51,49,26,0,126,97,150,21,4,268,52,90,9,0,154,38,60,7,0,103,38,63,10,0,104,54,104,0,0,162,114,154,28,0,303,19,5,3,0,38,1220,869,370,25,2489
502011023,13,3,9,0,23,10,0,4,0,17,10,3,21,0,34,6,3,27,0,37,71,19,43,3,129,29,18,81,4,133,311,27,72,4,409,112,40,65,3,214,123,73,52,5,248,68,74,33,0,178,53,67,30,6,147,56,76,14,0,146,93,126,24,0,239,49,83,7,0,136,23,35,3,0,62,15,33,5,0,52,24,65,4,0,96,97,179,44,0,323,35,10,16,0,67,1192,925,552,35,2699
502011024,39,12,22,0,69,22,3,6,0,31,23,3,26,0,51,15,5,30,0,60,96,12,47,0,149,65,11,76,3,157,392,25,74,4,495,215,45,68,6,329,269,96,59,4,431,203,100,40,7,352,108,117,40,3,270,125,112,28,3,264,217,257,40,3,513,116,245,11,0,369,80,143,3,3,230,77,133,3,0,212,136,276,9,3,420,204,436,61,0,696,56,20,5,0,82,2451,2055,647,44,5199
502011025,17,3,8,3,31,13,3,6,0,23,9,0,21,0,29,7,3,39,0,45,52,17,41,4,108,28,11,77,3,120,177,22,68,7,271,65,54,62,8,195,136,54,46,11,242,108,50,31,5,190,53,36,18,0,104,54,44,12,0,111,83,55,12,0,155,57,37,12,0,105,27,28,4,0,59,32,20,9,0,55,37,42,3,3,85,105,87,54,0,244,16,7,14,0,38,1076,560,530,48,2221
502011026,12,0,4,0,18,6,4,5,0,17,9,4,14,0,21,0,0,22,0,22,56,5,23,0,85,31,4,22,0,53,141,7,26,3,180,67,9,28,0,107,92,14,25,3,135,63,33,8,5,100,36,27,10,0,75,42,26,15,0,86,73,98,5,3,181,48,69,4,0,124,35,35,0,0,65,19,24,0,0,43,37,63,0,0,98,99,112,22,0,238,18,6,4,0,25,879,545,236,18,1674
502011027,31,16,24,0,62,9,0,14,0,30,11,4,18,0,37,9,4,24,0,35,82,11,53,8,150,43,13,74,0,137,276,12,60,3,349,131,51,72,3,253,152,91,71,3,314,128,148,62,5,339,99,143,40,0,280,98,169,25,0,291,208,382,48,4,639,137,269,20,4,433,73,176,15,0,264,66,128,13,0,209,85,262,0,0,351,209,441,54,3,698,22,13,15,3,63,1872,2331,687,39,4935
502011028,14,0,12,0,30,10,0,4,0,19,9,0,17,0,35,12,0,17,0,27,76,10,37,4,126,33,10,78,0,125,263,31,68,3,365,139,28,43,3,224,149,52,53,4,258,116,70,33,3,230,55,58,25,0,136,77,56,17,0,148,110,94,18,0,232,61,73,11,0,153,47,42,5,0,87,25,39,7,0,73,54,64,5,0,130,137,157,48,3,342,25,4,5,3,43,1415,798,511,39,2760
502011029,19,0,17,0,33,6,6,5,0,22,16,0,14,0,34,8,3,22,0,34,56,9,33,0,100,25,8,46,3,89,193,30,55,0,271,106,37,44,0,186,101,48,35,0,186,91,68,31,0,193,52,61,9,0,124,42,59,18,0,121,97,148,22,3,271,69,109,9,0,185,40,62,3,0,109,29,53,0,0,83,46,95,0,0,148,96,225,39,0,361,28,17,10,0,55,1123,1052,406,14,2588
503011030,11,6,8,0,22,0,0,0,0,3,5,0,4,4,10,0,3,0,0,6,13,0,4,0,15,12,0,6,0,20,27,0,8,0,39,40,4,12,0,58,33,16,10,3,61,59,8,10,0,79,17,12,9,3,42,34,22,8,0,63,48,44,17,0,106,52,47,6,0,102,33,36,0,0,69,33,106,12,0,157,166,480,19,0,666,61,170,19,0,257,10,13,0,0,20,664,966,152,18,1807
503011031,4,4,12,0,23,3,0,4,0,11,6,0,3,0,13,5,0,7,0,12,8,3,6,0,13,14,7,19,0,37,34,6,16,0,54,30,9,21,4,60,48,11,19,4,88,66,25,20,0,114,43,22,20,3,88,46,20,16,3,89,93,55,26,3,174,63,50,13,3,131,69,36,5,3,112,53,94,16,4,168,186,328,14,8,535,94,121,41,0,254,12,5,0,0,26,873,797,276,49,1999
503011032,4,4,7,0,17,3,0,3,0,6,0,0,6,0,6,0,0,9,0,11,11,0,4,3,14,7,0,11,0,16,32,4,12,0,47,21,11,12,0,38,39,7,12,0,58,43,8,13,3,68,29,16,9,3,56,31,20,13,3,59,68,59,20,0,143,66,43,6,3,112,50,41,7,0,102,60,86,15,0,159,254,434,15,0,712,84,137,28,0,249,5,11,0,0,15,800,877,199,26,1904
503011033,8,0,9,0,14,0,0,3,4,6,4,4,7,0,11,0,3,0,0,9,13,0,3,0,16,5,3,5,0,21,32,3,9,0,46,34,9,10,3,55,40,16,14,3,69,51,16,16,0,88,28,20,10,3,60,40,27,11,0,75,55,66,29,0,158,41,93,12,0,147,34,84,3,0,124,44,124,22,3,186,103,646,14,0,765,46,185,28,3,261,6,7,0,0,17,589,1302,207,22,2115
503011034,11,0,20,0,32,5,0,10,3,16,5,0,4,0,14,3,4,5,0,14,10,4,11,0,30,24,5,15,0,42,47,13,24,0,85,35,8,23,7,73,57,30,23,0,113,61,22,13,4,99,54,20,17,7,94,43,33,22,3,103,107,63,23,3,194,85,81,14,3,176,57,62,5,0,122,62,115,19,0,198,244,536,22,7,802,89,187,33,3,316,10,14,4,0,26,1005,1196,309,43,2550
503011035,33,14,20,9,76,3,7,8,3,18,14,3,4,4,25,3,6,10,5,26,21,7,4,8,41,24,22,22,3,64,54,22,31,9,115,63,25,19,3,115,95,47,21,9,172,99,42,33,7,183,67,35,20,4,131,85,44,26,5,160,150,129,33,11,322,131,112,21,10,268,96,102,5,0,209,81,209,38,3,333,408,1029,40,7,1482,143,318,46,5,517,16,19,3,0,37,1590,2188,403,92,4286
503011036,8,3,7,0,21,4,0,3,0,10,3,0,4,0,16,3,0,3,0,5,12,0,8,3,28,6,3,9,0,13,38,4,7,3,54,35,10,15,0,62,65,9,18,0,89,66,20,15,0,101,37,13,15,3,77,32,29,10,3,77,65,77,26,4,175,47,74,20,0,141,44,73,5,3,120,47,142,11,0,197,195,538,19,0,748,57,203,30,0,295,7,15,3,0,22,772,1210,234,25,2249
503021037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9
503021038,9,6,0,0,25,4,3,9,0,15,5,0,3,3,11,0,3,4,0,12,21,3,19,3,39,15,3,17,3,36,51,11,28,0,88,31,20,23,0,74,38,25,34,7,106,41,27,23,6,102,40,35,15,3,94,45,47,17,3,109,122,142,42,10,323,103,145,9,11,269,91,120,8,0,225,84,137,9,3,232,235,441,11,9,688,109,136,30,8,275,14,6,3,0,27,1058,1324,303,64,2754
503021039,20,12,5,0,35,10,0,4,3,22,6,8,12,0,20,5,0,8,0,14,37,9,11,3,58,23,11,31,4,65,103,8,45,0,164,78,29,35,8,159,121,39,40,11,208,97,47,46,4,196,88,56,32,11,190,81,83,33,3,199,217,186,42,9,451,169,139,17,5,326,132,146,6,6,287,101,143,25,4,265,277,608,13,7,906,165,227,40,9,437,20,12,5,3,35,1744,1756,454,91,4044
503021040,16,5,6,0,31,6,0,0,0,5,3,0,8,0,11,4,3,7,0,11,25,4,5,0,33,19,4,8,0,31,58,10,11,3,82,30,20,24,4,77,46,17,25,0,88,52,35,22,8,118,34,28,13,0,77,31,30,19,7,86,117,120,21,8,271,63,112,15,9,191,59,81,7,3,148,63,88,6,3,160,197,309,9,0,517,64,113,17,3,197,14,3,3,0,17,890,983,236,52,2160
503021041,73,11,25,14,121,19,3,5,3,39,29,5,19,4,57,18,4,18,3,35,61,24,34,10,134,64,24,25,15,124,175,24,42,17,261,143,61,31,19,256,224,61,48,20,355,233,58,27,23,341,232,58,24,23,344,250,77,32,17,375,581,166,47,25,811,445,82,26,13,556,330,94,8,7,438,323,133,14,3,480,729,285,17,11,1051,468,192,44,6,713,32,8,8,0,48,4429,1361,504,231,6530
503021042,20,6,16,0,45,6,0,5,3,22,12,0,11,3,25,5,5,13,0,15,29,4,13,8,58,17,4,23,6,50,84,14,24,3,123,59,23,29,6,120,126,26,45,6,200,107,44,39,0,189,85,42,34,3,159,94,56,23,0,178,216,146,62,7,442,187,127,19,10,338,139,100,8,4,251,131,194,35,3,361,372,640,31,3,1041,161,209,43,8,420,12,12,5,0,30,1859,1656,471,78,4058
503021043,24,8,16,3,55,13,3,8,6,26,11,10,12,3,31,9,0,12,0,25,41,12,21,3,70,34,10,30,7,87,103,29,33,7,171,113,46,32,6,197,145,66,51,8,275,141,77,18,11,254,95,89,26,9,216,94,90,27,3,220,217,181,46,17,459,157,156,16,4,328,101,132,5,0,238,91,191,23,0,304,267,648,19,5,937,169,229,41,3,445,15,11,3,0,28,1829,1991,443,109,4369
504011044,33,6,13,3,47,12,4,7,0,16,11,3,19,0,33,4,0,28,0,41,58,9,41,5,119,30,14,70,3,114,163,15,68,13,257,86,40,65,6,202,123,79,65,14,281,101,102,58,5,262,95,122,47,10,265,94,117,39,9,255,197,260,51,7,514,157,228,30,3,421,105,149,18,7,270,57,102,6,0,172,86,224,12,4,323,124,222,67,6,421,17,10,10,0,39,1555,1699,711,86,4053
504011045,27,10,15,3,63,10,4,14,0,33,16,12,25,3,56,3,0,37,0,43,81,19,60,12,164,44,18,63,5,134,215,41,68,4,331,132,70,99,13,313,179,105,103,8,395,148,124,90,11,380,101,164,56,13,331,106,151,45,5,305,284,372,72,16,742,254,312,42,9,613,184,259,13,11,464,145,214,14,3,375,233,457,17,4,707,191,291,79,4,561,24,17,16,0,65,2373,2635,932,137,6078
504011046,14,7,10,3,42,7,3,0,0,13,12,6,16,0,27,16,3,12,0,27,29,14,19,0,67,27,11,38,3,74,92,27,43,0,162,80,31,29,3,143,106,69,30,12,214,100,55,29,10,196,84,47,18,13,165,85,66,18,6,182,178,144,34,5,368,169,91,12,5,286,124,76,6,3,216,87,68,9,3,167,163,178,10,0,354,179,128,37,0,343,17,6,5,0,29,1571,1032,377,84,3071
504011047,41,29,29,10,111,18,9,6,0,37,16,15,26,4,55,15,10,23,0,53,105,17,45,3,172,59,29,82,4,166,350,74,92,7,528,186,116,86,9,400,207,179,114,7,506,167,206,95,15,481,130,179,55,7,374,123,184,45,11,365,267,397,51,19,738,168,270,29,17,480,113,181,10,3,306,62,117,3,0,184,81,198,16,7,296,188,265,92,9,554,42,14,15,0,81,2334,2496,920,146,5895
504011048,16,3,3,0,25,8,0,3,0,16,11,8,8,0,21,3,4,9,0,17,48,3,15,0,72,27,14,21,0,63,127,19,19,3,162,70,36,31,3,135,82,65,32,5,184,84,62,25,4,174,46,58,28,3,141,45,86,16,0,140,87,157,34,3,281,56,119,13,0,189,51,89,8,0,145,22,81,13,0,114,54,128,10,0,192,53,111,26,0,195,22,13,5,0,37,905,1053,309,31,2297
504021049,0,0,6,0,6,0,0,0,0,0,3,0,3,0,10,0,0,5,0,5,8,6,6,0,20,7,3,15,0,22,37,4,12,0,50,21,12,15,0,45,34,14,10,0,62,24,17,10,0,52,14,26,3,0,43,19,27,6,0,47,31,67,12,0,111,30,41,0,0,73,17,27,0,0,41,10,15,0,0,22,9,37,0,0,56,31,67,22,0,116,7,3,3,0,14,302,366,124,6,797
504021050,12,0,3,0,13,5,0,0,0,9,3,0,12,0,15,0,3,5,0,10,27,3,4,0,36,19,11,11,0,40,70,8,19,0,95,63,14,28,0,109,79,46,27,5,159,72,36,9,0,118,37,44,19,0,95,45,50,13,3,117,100,127,23,0,249,64,118,10,3,202,43,78,3,0,124,27,78,6,0,107,77,215,4,0,302,67,171,32,0,271,13,4,5,0,16,828,1010,230,14,2084
504021051,12,3,3,0,19,3,0,0,0,9,5,4,3,0,6,0,0,4,0,12,19,0,14,0,32,10,4,18,0,37,68,11,16,0,95,41,15,13,3,70,56,28,24,0,108,32,27,19,3,88,34,38,12,5,91,40,55,10,0,106,82,100,16,5,198,51,77,10,0,141,31,52,0,3,89,26,56,3,0,88,45,103,3,0,147,60,80,30,0,169,14,6,7,0,28,629,670,199,23,1521
504021052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7
504021053,19,6,9,0,39,13,3,4,0,19,10,4,10,0,21,10,5,5,0,17,55,8,18,3,90,42,8,33,0,85,187,12,34,0,236,98,32,41,3,174,139,60,33,5,241,105,79,37,0,223,68,91,25,3,190,69,109,32,0,217,178,255,48,0,479,134,217,9,5,361,81,127,4,0,216,51,107,7,0,165,91,235,7,0,330,141,297,62,0,496,20,17,4,0,44,1503,1687,428,27,3648
504021054,17,3,11,0,33,9,3,10,0,20,16,7,21,0,39,3,4,24,3,38,60,11,36,3,113,34,9,58,0,102,180,15,61,3,262,94,34,72,9,207,110,81,69,11,270,109,93,54,8,263,80,100,36,0,220,70,112,40,0,220,155,209,49,9,424,100,124,22,3,250,41,85,5,4,135,32,68,5,3,111,49,97,8,0,159,116,206,70,3,394,33,10,10,7,61,1308,1291,660,63,3323
504031055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
504031056,25,17,22,4,74,10,3,11,3,33,12,3,23,6,35,6,3,39,0,48,62,24,42,3,131,26,39,80,6,142,196,85,85,0,370,104,104,95,9,313,121,166,117,8,412,135,185,72,15,408,87,210,57,4,358,93,200,59,3,354,212,399,68,11,687,120,311,40,5,473,54,176,10,9,246,39,128,6,0,173,49,190,7,3,256,115,355,86,3,556,22,34,7,0,65,1494,2638,925,80,5139
504031057,26,21,20,0,70,13,11,6,3,30,9,15,30,4,56,8,12,38,4,54,55,22,37,6,122,30,39,73,0,146,145,66,69,0,287,98,117,74,4,295,104,172,86,6,369,136,206,63,7,418,98,200,53,5,362,101,214,39,11,366,205,397,44,16,671,126,245,18,7,394,56,144,10,4,214,43,89,10,0,137,39,148,5,0,196,98,254,77,9,433,18,30,16,3,60,1407,2408,774,92,4685
504031058,9,4,3,0,21,0,3,0,0,5,4,0,3,0,9,3,0,4,0,12,20,3,11,0,40,13,7,17,0,42,41,9,12,4,66,34,9,24,0,63,36,30,31,0,97,38,32,20,0,93,35,50,7,0,96,59,42,5,0,104,72,101,11,0,192,35,62,4,0,109,26,36,3,0,63,15,39,4,0,56,33,58,0,0,92,45,136,16,0,203,3,13,5,0,22,535,649,193,11,1379
504031059,49,18,35,0,96,15,4,19,3,35,14,8,48,0,77,10,6,70,0,87,94,24,102,3,217,56,47,162,0,269,241,61,116,3,423,131,135,149,4,412,190,262,165,9,620,221,379,136,9,750,179,399,102,8,689,222,446,78,8,751,520,960,117,11,1609,344,633,49,8,1043,208,373,16,3,592,113,291,16,0,417,105,344,18,4,468,318,687,133,14,1147,39,42,20,0,99,3052,5117,1546,101,9807
504031060,3,3,0,0,11,4,0,3,0,6,0,0,3,0,6,0,0,3,0,6,12,0,3,0,21,3,0,4,0,7,21,4,13,0,34,27,9,3,0,36,32,11,8,0,48,21,23,3,0,52,14,9,4,0,31,22,16,0,0,46,35,55,0,0,88,19,45,3,0,70,20,30,0,0,56,20,30,0,0,48,31,58,0,0,84,30,89,8,0,127,10,9,0,0,17,334,389,63,6,785
504031061,3,0,3,0,11,0,0,0,0,0,0,0,3,0,10,3,3,6,0,8,15,3,11,0,30,11,0,16,0,32,49,3,15,4,72,18,13,20,0,48,33,13,9,3,58,33,22,10,0,71,21,40,15,0,80,13,36,15,0,68,61,89,16,3,163,40,63,8,0,109,36,43,3,0,85,22,25,3,0,53,38,64,4,0,103,45,83,19,0,145,4,6,0,0,11,455,508,180,14,1159
504031062,17,8,6,0,34,5,0,3,0,12,4,3,23,3,34,7,3,19,3,25,41,10,33,5,89,20,18,54,5,97,110,37,39,3,185,53,60,51,7,171,56,78,57,8,202,63,90,45,9,210,62,121,26,3,211,62,94,27,4,185,161,242,31,3,437,95,149,17,3,262,65,89,4,0,169,25,55,4,3,88,32,90,0,0,126,83,160,45,3,286,20,11,16,4,41,977,1320,516,66,2871
504031063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031065,3,0,9,0,17,8,0,8,0,10,5,0,10,0,14,0,4,7,0,11,25,4,15,0,49,22,9,26,4,54,72,10,25,4,112,45,25,33,3,95,49,38,38,0,130,39,48,21,3,108,36,38,25,0,90,27,45,16,0,91,52,97,19,3,174,32,59,8,0,101,23,34,5,0,68,18,29,0,0,43,17,56,3,0,81,45,84,28,0,160,13,8,8,0,30,526,583,304,20,1438
504031066,13,3,8,0,17,3,3,6,0,14,5,0,15,3,25,3,0,24,0,25,34,15,50,0,94,20,15,66,3,106,112,21,55,8,192,47,38,48,13,143,82,69,65,11,226,97,60,43,7,211,49,78,37,4,164,49,62,38,4,156,123,130,26,9,290,67,91,16,0,176,42,39,9,0,94,35,50,14,0,99,42,97,3,0,137,82,89,43,9,225,14,4,19,7,42,913,877,574,84,2454
504031067,3,3,3,0,12,4,0,0,3,13,4,5,16,0,21,3,0,13,0,19,17,8,17,0,39,8,12,35,3,52,55,14,34,3,108,36,18,50,3,114,34,46,34,4,116,45,67,35,5,150,30,59,23,4,116,32,88,22,0,144,89,144,41,6,269,56,96,7,3,165,25,67,5,3,98,17,50,0,0,69,25,79,0,0,103,52,147,35,3,236,7,11,8,0,26,549,917,370,33,1863
504031068,24,3,16,0,40,8,4,0,0,12,3,0,6,0,15,0,0,10,0,12,28,7,16,0,53,22,5,21,0,51,72,13,23,0,109,60,27,29,3,122,92,53,48,0,188,68,76,15,4,154,57,86,29,4,171,56,103,11,0,175,190,192,19,3,406,88,146,10,0,246,65,124,3,0,194,48,108,7,0,169,89,228,11,0,329,111,228,18,0,358,12,9,3,0,28,1081,1412,305,23,2820
504031069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505011070,11,5,11,0,21,4,0,0,0,8,10,5,9,0,29,0,3,22,0,20,26,3,32,0,66,22,7,48,0,83,103,29,54,0,190,70,23,61,3,154,68,56,47,6,186,74,88,42,5,204,49,90,34,0,172,63,98,25,3,187,159,232,34,7,431,113,163,16,3,298,67,82,3,3,158,45,46,4,3,89,45,84,3,0,131,115,142,52,3,313,16,9,12,0,39,1047,1171,507,42,2764
